"gene"	"length"	"logfc"	"logcpm"	"F"	"p"	"fdr"	"gene2"	"WT_A"	"WT_B"	"WT_C"	"GCB_A"	"GCB_B"	"GCB_C"
"1810013L24Rik"	4074	-0.517876816506187	5.82556265645461	1.30716658662334	0.289529071584214	0.342600595745956	"1810013L24Rik"	5.50025365889257	5.88543500799891	5.14954441254414	5.40636970772684	5.25510427108146	6.9109962392989
"1810014B01Rik"	1620	0.0981598061189089	3.16549588858814	0.140488506183607	0.718603177175641	0.75886040263748	"1810014B01Rik"	3.19039957806948	3.28142935159162	3.16420380042054	3.09108187200758	3.03381734839566	3.21884346447364
"1810021M19Rik"	5388	-2.45280404948642	3.74909114609451	39.4570068803931	0.000368433424129266	0.00121813706605131	"1810021M19Rik"	2.10103187858581	2.17763853250817	1.99634766512432	4.44708801526144	3.70235686859721	5.08116701027647
"1810030O07Rik"	3516	0.800149435421692	5.9667810050982	50.7352957620356	0.000166865638655002	0.000683753702280164	"1810030O07Rik"	6.39004264261424	6.26962896600775	6.26959640606173	5.55678652832035	5.54022155251872	5.43488641154961
"1810034E14Rik"	1802	-2.08969017612055	2.50744187675095	45.2114510334793	0.000240655433323668	0.0008914768108468	"1810034E14Rik"	1.22291670057331	1.35682696037281	0.910345206889873	3.28238675404296	3.26873422385201	3.05959567156276
"1810037I17Rik"	976	-1.73620225567128	6.82432113980558	103.760490451251	1.571434308173e-05	0.000146302451849933	"1810037I17Rik"	5.68046925223493	5.59845169439784	5.84557480201972	7.60946634204208	7.09165364282557	7.58105018622266
"1810041H14Rik"	764	-0.721765669415984	2.87607167103317	5.05856655221516	0.0582760044515625	0.082365028523574	"1810041H14Rik"	2.86306705576491	2.3526716802933	2.13483392664883	3.24785023796916	3.12787394653609	3.20199284028666
"1810046K07Rik"	1455	-0.293415748730159	2.28652869524998	0.609777811385561	0.459794958251096	0.514058690824006	"1810046K07Rik"	2.45260697751227	1.81399354638378	2.0672518439087	2.72739838133745	2.56410838433108	1.79590184978482
"1810055G02Rik"	2352	-0.766802972090667	2.50817423939719	3.47826481714556	0.103309179489324	0.136702045586883	"1810055G02Rik"	2.18508221376398	2.05407137203056	2.01440307062619	3.04153394201516	3.23742725688632	1.8830536976643
"1810058I24Rik"	1165	-0.878948668216356	6.04157871337018	38.8110303663629	0.000387759349689141	0.00126363475184456	"1810058I24Rik"	5.52304172944329	5.46792577096762	5.61948073850705	6.62809078628702	6.22515743802331	6.36258155656065
