"gene"	"length"	"logfc"	"logcpm"	"F"	"p"	"fdr"	"gene2"	"Bmem_A"	"Bmem_B"	"Bmem_C"	"GCB_A"	"GCB_B"	"GCB_C"
"1700047G03Rik"	840	-0.304233927497035	2.76506795175609	0.0274345936827186	0.872379644633436	0.9692258527197	"1700047G03Rik"	1.45715807309162	2.78641677486797	-1.61882116701758	0.252217143815617	1.53496763555085	4.76278478807517
"1700048O20Rik"	1848	-1.47807285732165	2.71326054785094	2.02864828452593	0.190585749690387	0.539181764004435	"1700048O20Rik"	2.97385609063726	2.38229202669772	-0.790170607098226	3.29377333516011	2.89594558192798	3.06896478287245
"1700049J03Rik"	6128	-0.986479957688501	2.3210737623275	1.19651866118618	0.30452314501408	0.667654063768598	"1700049J03Rik"	2.28379785879583	0.3111378767134	2.2598792706588	2.48896817779661	3.0080792258122	2.40701292571891
"1700056E22Rik"	967	0.498701160570904	1.88539736086822	0.39005579499821	0.548927069585146	0.841177969937198	"1700056E22Rik"	1.97833118202285	1.71692997117869	2.49358627920094	2.04277555645211	1.60003676925701	1.07136624323855
"1700061J23Rik"	537	0.462041777160608	2.73312466125584	0.0462477409268472	0.834878470434831	0.958929210480388	"1700061J23Rik"	1.42185474526492	4.2340425512918	-2.6697686207104	-0.0569652969198602	1.66229734085703	3.86469410122118
"1700066B19Rik"	2651	-0.217488651828936	3.24153860931005	0.0985539880002973	0.761260800309594	0.933186215871367	"1700066B19Rik"	3.98376918110657	2.1279287758201	2.90394574640446	3.67084901834739	2.71684264256844	3.27049414198914
"1700066M21Rik"	4239	-0.839043941971439	1.82270846078678	1.11977624385484	0.31957363125823	0.681386517927803	"1700066M21Rik"	1.90352170651295	1.14001109928339	0.589522022555752	2.31670907655831	2.7314374143249	0.990630810109108
"1700093K21Rik"	3156	0.119657775417799	2.44133879910648	0.00548081931654739	0.942724872661918	0.987528804118387	"1700093K21Rik"	2.43310894406	3.18049943833299	-1.01726830104874	1.32889986402063	1.06741344110729	3.73439213683121
"1700094D03Rik"	3085	0.515116483026358	4.64749070217642	1.01290771301481	0.342437845175134	0.699746992559035	"1700094D03Rik"	4.86928898269475	4.58465587354799	4.9729012339322	4.29910367754201	3.45761142749855	5.13561789197888
"1700095A21Rik"	1069	-0.510580569500137	4.79295943903908	0.194567220012127	0.670324612006879	0.898509617115089	"1700095A21Rik"	2.34161534728285	6.02077788399284	2.65662445388649	2.81756460597905	3.6154393547927	6.15340435980782
