"gene"	"length"	"logfc"	"logcpm"	"F"	"p"	"fdr"	"gene2"	"IFNg_A"	"IFNg_B"	"IFNg_C"	"WT_A"	"WT_B"	"WT_C"
"1810021M19Rik"	5388	-0.0585608220098087	2.05223489007112	0.0832077317575076	0.779558794018816	0.918938239064421	"1810021M19Rik"	2.03061199637406	1.87849007821745	2.30571914769604	2.02103454586004	2.10769265373672	1.9251385436619
"1810030O07Rik"	3516	0.0874965892667522	6.20114019988846	1.63276368582902	0.233434097442961	0.585885709588267	"1810030O07Rik"	6.08836331778813	6.25246386166616	6.12505276957066	6.31685543735511	6.20629468320939	6.2059339969778
"1810034E14Rik"	1802	0.0934598392727903	1.06212304816338	0.0979823629586182	0.761428288112985	0.910908763496976	"1810034E14Rik"	0.407602369008448	1.1604441583106	1.33307640681348	1.13687816174967	1.28147585149004	0.830148780238646
"1810037I17Rik"	976	-0.143618166965259	5.71826919513033	3.32899000048148	0.101518769086834	0.428248815499903	"1810037I17Rik"	5.69438671540411	5.8661188537284	5.79470424441778	5.60704932261344	5.53487398130343	5.78177213544505
"1810041H14Rik"	764	0.163681616505676	2.32693490766421	0.442422133284047	0.522707196820357	0.785823948722664	"1810041H14Rik"	2.04790637408274	2.02505515130634	2.57485785138545	2.78601876308186	2.28352986747502	2.06435493558428
"1810046K07Rik"	1455	0.0418759619156819	2.04072444360182	0.0361939924371107	0.853356148970871	0.948828540997357	"1810046K07Rik"	1.88424442617725	1.75321871679666	2.34380498128756	2.37416471919695	1.74202820499297	1.99642534183841
"1810055G02Rik"	2352	-0.00734534583681808	2.01614981847819	0.00148515991474563	0.970103960352387	0.99193194145976	"1810055G02Rik"	1.95928361759312	1.97783540694071	2.11334399031621	2.10549197918832	1.98349584142088	1.94329318275465
"1810058I24Rik"	1165	-0.163448603569306	5.55523022621746	4.79833655320042	0.0563358001356659	0.348259946664219	"1810058I24Rik"	5.652603721135	5.66467405649319	5.58280453229006	5.44955272590701	5.40428608706921	5.55558461814872
"2010001A14Rik"	764	0.367357008871155	1.06694681475692	1.88398968373476	0.203258770256906	0.557875393504377	"2010001A14Rik"	1.29852000830729	1.07327480677881	0.0902387511929859	1.57631823135226	1.12230000791978	0.906161539386935
"2010016I18Rik"	1558	0.315061871120841	2.04273891561795	2.53557818027356	0.145922578885388	0.493276208904282	"2010016I18Rik"	1.95928361759312	1.91237101363453	1.76600942925387	2.03832620813466	2.49326057867215	2.01370994356428
"2010204K13Rik"	946	-0.632023227012738	1.52253360032335	5.64915212182799	0.0415643103501696	0.310569875214277	"2010204K13Rik"	1.82528725939453	1.87849007821745	1.62878056973799	0.550855519648118	1.45185755371944	1.40246291546017
"2010315B03Rik"	2786	0.0253551880431484	4.8446425984156	0.0522851755293491	0.824267366782273	0.93677305744443	"2010315B03Rik"	4.6510779855933	4.71012813866979	5.08920487891475	4.52345731275648	5.04904479793032	4.95054434768049
"2010320M18Rik"	745	-0.0285314970190712	1.15870097489171	0.0130017302476523	0.911732173824346	0.970883333052428	"2010320M18Rik"	1.14626285303434	1.37002493689784	0.960713215481831	0.773702382684961	1.50445543300281	1.08032527759393
"2210016F16Rik"	2822	-0.131525438837695	5.92450814530189	4.40480936284208	0.0653870622591532	0.366557559957974	"2210016F16Rik"	6.09565798294479	5.97933626874275	5.88141560817911	5.95540693349596	5.90379956416835	5.70271605797834
"2210016L21Rik"	1388	-0.0776767164187669	5.02729687577432	0.843104799081524	0.382563674115807	0.702336479032632	"2210016L21Rik"	5.09972786065323	5.00327843471598	5.08920487891475	4.8758029661185	4.98801598325271	5.09355139616692
"2210408I21Rik"	20413	-0.0599691734920693	1.72508762376621	0.0769003400001839	0.787834905000092	0.922723961910356	"2210408I21Rik"	1.32713399030026	2.15809408869853	1.66933863460045	1.52817096027369	1.82708780481021	1.66563699970684
"2300009A05Rik"	598	0.0614281559695247	3.70165180172922	0.163837230808333	0.695141260822185	0.880358504981183	"2300009A05Rik"	3.8997456088202	3.77870065684198	3.23893027045151	3.60095524999646	4.18388451135165	3.30119642312599
"2310001H17Rik"	769	0.0199188749706418	4.04808809547162	0.0357328917261125	0.85428089052336	0.949310218583112	"2310001H17Rik"	4.05749007758326	3.98382437325092	4.07067665422301	4.11447950573004	3.97144456898187	4.0853349289447
